Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"cyber_security_for_beginners_ebook.pdf","2025-11-19 22:39:10 PST","0000-00-00 00:00:00","2025-11-19 00:00:00 PST","2025-11-19 22:39:10 PST",9285391,Allocated,Allocated,unknown,"/img_usb_raw_image.dd/vol_vol2/cyber_security_for_beginners_ebook.pdf","e3f22eb91de7ac42c61eab9c8bcce4e4","872fb41760d114d83c121cc4f97fa7b3c6bba0820270396f80d8014a547fc4f8",application/pdf,pdf
"Security-Awareness-Memo-Phishing-Advisory.pdf","2025-11-19 22:39:12 PST","0000-00-00 00:00:00","2025-11-19 00:00:00 PST","2025-11-19 22:39:12 PST",172210,Allocated,Allocated,unknown,"/img_usb_raw_image.dd/vol_vol2/Security-Awareness-Memo-Phishing-Advisory.pdf","fa66f575eed3c768f380cc0e9c076b53","f77a9326f0fe343496b4975eb531b8ef58145a1bb94b2ea8aefaa8315b75f2c8",application/pdf,pdf
