Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
WPSettings.dat,"2025-11-19 22:39:04 PST","0000-00-00 00:00:00","2025-12-03 00:00:00 PST","2025-11-19 22:39:04 PST",12,Allocated,Allocated,unknown,"/img_usb_raw_image.dd/vol_vol2/System Volume Information/WPSettings.dat","a4b6f45f30dcf849272d483a039590c4","f45fd3119565548ea89173cd27f166a532f2aa73d4fa6ec41c43a51684e4b2f8",application/octet-stream,dat
IndexerVolumeGuid,"2025-11-19 22:39:06 PST","0000-00-00 00:00:00","2025-12-03 00:00:00 PST","2025-11-19 22:39:06 PST",76,Allocated,Allocated,unknown,"/img_usb_raw_image.dd/vol_vol2/System Volume Information/IndexerVolumeGuid","ad1f5b86d07f385bc0390411265f2e60","2917c2cf3029168c63fee7ffab8840e69b126c0eff881aa6f3937272208abe35",application/octet-stream,
.goutputstream-ZIP9F3,"2025-11-19 22:39:06 PST","0000-00-00 00:00:00","2025-11-19 00:00:00 PST","2025-11-19 22:39:06 PST",76,Unallocated,Unallocated,unknown,"/img_usb_raw_image.dd/vol_vol2/System Volume Information/.goutputstream-ZIP9F3","ad1f5b86d07f385bc0390411265f2e60","2917c2cf3029168c63fee7ffab8840e69b126c0eff881aa6f3937272208abe35",application/octet-stream,
