Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
dog.jpg.trashinfo,"2025-11-19 22:38:48 PST","0000-00-00 00:00:00","2025-11-19 00:00:00 PST","2025-11-19 22:38:48 PST",59,Allocated,Allocated,unknown,"/img_usb_raw_image.dd/vol_vol2/.Trash-1000/info/dog.jpg.trashinfo","6aa6b0b6ca8abda92bcfcd5e32fe6833","91d621d63fec2442fba68e197003c8304e420fd801262c5d868fd1f0911b8240",text/plain,trashinfo
"CIS27A Proj.trashinfo","2025-11-19 22:38:48 PST","0000-00-00 00:00:00","2025-11-19 00:00:00 PST","2025-11-19 22:38:48 PST",65,Allocated,Allocated,unknown,"/img_usb_raw_image.dd/vol_vol2/.Trash-1000/info/CIS27A Proj.trashinfo","5ec4fb9cbdfae4947d2b9a7b76432896","30b44f7d5bdce4314258ebef4e3840c908a0314c147d0b32e4089eda605b0192",text/plain,trashinfo
.malwareIP.txt,"2025-11-19 22:39:06 PST","0000-00-00 00:00:00","2025-11-19 00:00:00 PST","2025-11-19 22:39:06 PST",29,Allocated,Allocated,unknown,"/img_usb_raw_image.dd/vol_vol2/.malwareIP.txt","06e7defe452baf6403a5f66161fe78d4","fea7c607eef3a1c9cb6794aa261f74bb03e2d2da0ef8f42607fcd57b98f9bc9b",text/plain,txt
