"Source Name","Source Type",Score,Conclusion,Configuration,Justification,"Date Created","Device Model","Device Make","File Path",Size,Path
f0010600.jpg,File,"Not Notable",,,,"2019-06-04 05:34:07 PDT","Canon EOS 6D",Canon,"/LogicalFileSet1/Recovered Files/recup_dir.1/f0010600.jpg",4265913,"/LogicalFileSet1/Recovered Files/recup_dir.1/f0010600.jpg"
f0018936.jpg,File,"Not Notable",,,,"2024-01-29 04:07:39 PST",SM-F926U,samsung,"/LogicalFileSet1/Recovered Files/recup_dir.1/f0018936.jpg",3811395,"/LogicalFileSet1/Recovered Files/recup_dir.1/f0018936.jpg"
f0026384.jpg,File,"Not Notable",,,,"2024-01-28 22:19:24 PST",SM-F926U,samsung,"/LogicalFileSet1/Recovered Files/recup_dir.1/f0026384.jpg",2348604,"/LogicalFileSet1/Recovered Files/recup_dir.1/f0026384.jpg"
f0036616.jpg,File,"Not Notable",,,,"2011-05-07 08:25:51 PDT","Canon EOS REBEL T1i",Canon,"/LogicalFileSet1/Recovered Files/recup_dir.1/f0036616.jpg",500507,"/LogicalFileSet1/Recovered Files/recup_dir.1/f0036616.jpg"
