"Source Name","Source Type",Score,Conclusion,Configuration,Justification,Comment,"File Path"
"Apple_lisa,_personal_computer,_1983_(1985).jpg",File,Unknown,,,,"EXIF metadata data exists for this file.","/img_usb_raw_image.dd/vol_vol2/Apple_lisa,_personal_computer,_1983_(1985).jpg"
beach1.jpg,File,Unknown,,,,"EXIF metadata data exists for this file.","/img_usb_raw_image.dd/vol_vol2/beach1.jpg"
beach2.jpg,File,Unknown,,,,"EXIF metadata data exists for this file.","/img_usb_raw_image.dd/vol_vol2/beach2.jpg"
"Computer_History_Museum_(9364487908).jpg",File,Unknown,,,,"EXIF metadata data exists for this file.","/img_usb_raw_image.dd/vol_vol2/Computer_History_Museum_(9364487908).jpg"
