"Source Name","Source Type",Score,Conclusion,Configuration,Justification,"Date Created","Device Model","Device Make","File Path",Size,Path
"Apple_lisa,_personal_computer,_1983_(1985).jpg",File,"Not Notable",,,,"2019-06-04 12:34:07 PDT","Canon EOS 6D",Canon,"/img_usb_raw_image.dd/vol_vol2/Apple_lisa,_personal_computer,_1983_(1985).jpg",4265913,"/img_usb_raw_image.dd/vol_vol2/Apple_lisa,_personal_computer,_1983_(1985).jpg"
beach1.jpg,File,"Not Notable",,,,"2024-01-29 12:07:39 PST",SM-F926U,samsung,"/img_usb_raw_image.dd/vol_vol2/beach1.jpg",3811577,"/img_usb_raw_image.dd/vol_vol2/beach1.jpg"
beach2.jpg,File,"Not Notable",,,,"2024-01-29 06:19:24 PST",SM-F926U,samsung,"/img_usb_raw_image.dd/vol_vol2/beach2.jpg",2348786,"/img_usb_raw_image.dd/vol_vol2/beach2.jpg"
"Computer_History_Museum_(9364487908).jpg",File,"Not Notable",,,,"2011-05-07 15:25:51 PDT","Canon EOS REBEL T1i",Canon,"/img_usb_raw_image.dd/vol_vol2/Computer_History_Museum_(9364487908).jpg",500507,"/img_usb_raw_image.dd/vol_vol2/Computer_History_Museum_(9364487908).jpg"
